t,xc,yc,psi,u,v,r
2.05769,2.38386,-0.169944,0.0475608,0.0475605,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.05824,2.38425,-0.169944,0.0548777,0.0548774,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.05887,2.38469,-0.169944,0.0621947,0.0621941,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.05959,2.3852,-0.169944,0.0695115,0.0695108,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.0604,2.38577,-0.169944,0.0768284,0.0768273,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06128,2.3864,-0.169944,0.0841452,0.0841438,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06225,2.38708,-0.169944,0.0914619,0.0914601,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06331,2.38783,-0.169944,0.0987786,0.0987763,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06445,2.38864,-0.169944,0.106095,0.106092,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06568,2.3895,-0.169944,0.113412,0.113408,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06699,2.39043,-0.169944,0.120728,0.120724,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06838,2.39141,-0.169944,0.128045,0.128039,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.06986,2.39246,-0.169944,0.135361,0.135355,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.07142,2.39356,-0.169944,0.142677,0.14267,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.07307,2.39473,-0.169944,0.149993,0.149985,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.0748,2.39595,-0.169944,0.157309,0.157299,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.07662,2.39724,-0.169944,0.164625,0.164614,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.07852,2.39858,-0.169944,0.164624,0.164611,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08042,2.39993,-0.169944,0.164622,0.164608,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08232,2.40127,-0.169944,0.164621,0.164605,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08422,2.40261,-0.169944,0.16462,0.164602,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08612,2.40396,-0.169944,0.164618,0.164599,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08802,2.4053,-0.169944,0.164617,0.164596,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08992,2.40665,-0.169944,0.164616,0.164594,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09182,2.40799,-0.169944,0.164614,0.164591,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09373,2.40933,-0.169944,0.164613,0.164588,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09563,2.41068,-0.169944,0.164612,0.164585,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09753,2.41202,-0.169944,0.16461,0.164582,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09943,2.41336,-0.169944,0.164609,0.164579,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10133,2.41471,-0.169944,0.164608,0.164576,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10323,2.41605,-0.169944,0.164607,0.164573,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10513,2.4174,-0.169944,0.164605,0.16457,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10703,2.41874,-0.169944,0.164604,0.164568,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10893,2.42008,-0.169944,0.164603,0.164565,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11083,2.42143,-0.169944,0.164601,0.164562,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11273,2.42277,-0.169944,0.1646,0.164559,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11463,2.42411,-0.169944,0.164599,0.164556,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11653,2.42546,-0.169944,0.164597,0.164553,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11843,2.4268,-0.169944,0.164596,0.16455,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12033,2.42814,-0.169944,0.164595,0.164547,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12223,2.42949,-0.169944,0.164593,0.164544,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12414,2.43083,-0.169944,0.164592,0.164542,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12604,2.43217,-0.169944,0.164591,0.164539,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12794,2.43352,-0.169944,0.164589,0.164536,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12984,2.43486,-0.169944,0.157271,0.157216,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13165,2.43614,-0.169944,0.149953,0.149896,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13338,2.43737,-0.169944,0.142635,0.142577,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13503,2.43853,-0.169944,0.135317,0.135257,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13659,2.43964,-0.169944,0.127999,0.127938,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13807,2.44068,-0.169944,0.120681,0.12062,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13946,2.44167,-0.169944,0.113363,0.113301,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14077,2.44259,-0.169944,0.106045,0.105982,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.142,2.44346,-0.169944,0.0987276,0.0986642,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14314,2.44426,-0.169944,0.0914101,0.0913461,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14419,2.44501,-0.169944,0.0840926,0.0840281,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14516,2.44569,-0.169944,0.0767752,0.0767103,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14605,2.44632,-0.169944,0.0694578,0.0693926,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14685,2.44689,-0.169944,0.0621405,0.062075,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14757,2.44739,-0.169944,0.0548233,0.0547575,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1482,2.44784,-0.169944,0.047506,0.0474402,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14875,2.44823,-0.169944,0.0401889,0.0401228,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14922,2.44855,-0.169944,0.0328717,0.0328056,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1496,2.44882,-0.169944,0.0255546,0.0254884,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14989,2.44903,-0.169944,0.0182375,0.0181713,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1501,2.44918,-0.169944,0.0109204,0.0108542,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.15023,2.44927,-0.169944,0.00360331,0.00353707,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.15027,2.44929,-0.169944,-0.00371376,-0.00378,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.15023,2.44926,-0.169944,-0.0110308,-0.0110971,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1501,2.44917,-0.169944,-0.0183479,-0.0184141,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14989,2.44902,-0.169944,-0.025665,-0.0257312,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14959,2.44881,-0.169944,-0.032982,-0.0330482,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14921,2.44854,-0.169944,-0.040299,-0.0403651,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14874,2.44821,-0.169944,-0.047616,-0.047682,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14819,2.44782,-0.169944,-0.054933,-0.0549989,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14756,2.44737,-0.169944,-0.0622499,-0.0623156,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14684,2.44687,-0.169944,-0.0695668,-0.0696323,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14604,2.4463,-0.169944,-0.0768836,-0.0769488,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14515,2.44567,-0.169944,-0.0842004,-0.0842653,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14418,2.44498,-0.169944,-0.0915171,-0.0915816,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14312,2.44423,-0.169944,-0.0988338,-0.0988978,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14198,2.44342,-0.169944,-0.0988333,-0.0988967,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.14084,2.44262,-0.169944,-0.0988329,-0.0988957,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13969,2.44181,-0.169944,-0.0988324,-0.0988946,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13855,2.441,-0.169944,-0.0988319,-0.0988936,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13741,2.44019,-0.169944,-0.0988314,-0.0988925,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13627,2.43939,-0.169944,-0.098831,-0.0988915,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13513,2.43858,-0.169944,-0.0988305,-0.0988905,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13399,2.43777,-0.169944,-0.09883,-0.0988894,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13285,2.43696,-0.169944,-0.0988295,-0.0988884,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13171,2.43616,-0.169944,-0.0988291,-0.0988873,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.13056,2.43535,-0.169944,-0.0988286,-0.0988863,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12942,2.43454,-0.169944,-0.0988281,-0.0988852,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12828,2.43373,-0.169944,-0.0988277,-0.0988842,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12714,2.43293,-0.169944,-0.0988272,-0.0988831,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.126,2.43212,-0.169944,-0.0988267,-0.0988821,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12486,2.43131,-0.169944,-0.0988262,-0.0988811,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12372,2.4305,-0.169944,-0.0988258,-0.09888,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12258,2.4297,-0.169944,-0.0988253,-0.098879,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12143,2.42889,-0.169944,-0.0988248,-0.0988779,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.12029,2.42808,-0.169944,-0.0988243,-0.0988769,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11915,2.42728,-0.169944,-0.0988239,-0.0988758,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11801,2.42647,-0.169944,-0.0988234,-0.0988748,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11687,2.42566,-0.169944,-0.0988229,-0.0988738,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11573,2.42485,-0.169944,-0.0988224,-0.0988727,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11459,2.42405,-0.169944,-0.098822,-0.0988717,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11345,2.42324,-0.169944,-0.0988215,-0.0988706,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1123,2.42243,-0.169944,-0.098821,-0.0988696,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11116,2.42162,-0.169944,-0.0988205,-0.0988685,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.11002,2.42082,-0.169944,-0.0988201,-0.0988675,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10888,2.42001,-0.169944,-0.0988196,-0.0988665,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10774,2.4192,-0.169944,-0.0988191,-0.0988654,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.1066,2.41839,-0.169944,-0.0988186,-0.0988644,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10546,2.41759,-0.169944,-0.0988182,-0.0988633,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10432,2.41678,-0.169944,-0.0988177,-0.0988623,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10317,2.41597,-0.169944,-0.0988172,-0.0988612,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10203,2.41517,-0.169944,-0.0988168,-0.0988602,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.10089,2.41436,-0.169944,-0.0988163,-0.0988592,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09975,2.41355,-0.169944,-0.0988158,-0.0988581,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09861,2.41274,-0.169944,-0.0988153,-0.0988571,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09747,2.41194,-0.169944,-0.0988149,-0.098856,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09633,2.41113,-0.169944,-0.0980827,-0.0981233,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.0952,2.41033,-0.169944,-0.0966188,-0.0966588,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09408,2.40954,-0.169944,-0.0944232,-0.0944627,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09299,2.40877,-0.169944,-0.091496,-0.0915349,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09193,2.40802,-0.169944,-0.087837,-0.0878755,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.09092,2.4073,-0.169944,-0.0834464,-0.0834844,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08995,2.40662,-0.169944,-0.0783241,-0.0783617,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08905,2.40598,-0.169944,-0.0724702,-0.0725074,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08821,2.40539,-0.169944,-0.0658845,-0.0659215,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08745,2.40485,-0.169944,-0.0585672,-0.058604,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08678,2.40437,-0.169944,-0.05125,-0.0512865,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08618,2.40395,-0.169944,-0.0439328,-0.0439692,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08568,2.40359,-0.169944,-0.0366156,-0.0366519,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08525,2.4033,-0.169944,-0.0292985,-0.0293347,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08492,2.40306,-0.169944,-0.0219814,-0.0220175,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08466,2.40288,-0.169944,-0.0146643,-0.0147004,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08449,2.40276,-0.169944,-0.00734721,-0.00738329,0,
1.92503,-3.84527,-0.00409251,0,0,0,
2.08441,2.4027,-0.169944,-3.01306e-005,-6.62079e-005,0,
1.92503,-3.84527,-0.00409251,0,0,0,
